listing_id,address_street,neighborhood_id,price,bedrooms,bathrooms,square_footage,property_type,year_built,description,image_url
P0030,1818 Maple Dr,N003,570000,3,2.5,1850,Townhouse,2015,"Maple Grove. End unit, lots of light, and near schools.",placeholder.jpg
P0031,1919 Birch Blvd,N002,490000,2,2,1350,Condo,2019,"Downtown Metro Hub. High ceilings, modern design, and secure building.",placeholder.jpg
P0032,2020 Cedar Ct,N004,345000,3,1.5,1550,Single Family,1985,"Riverside Meadows. Affordable, with potential for updates. Near river.",placeholder.jpg
P0033,2121 Spruce St,N001,730000,4,3,2650,Single Family,2009,"Willow Creek Estates. Large lot, updated kitchen, and great schools.",placeholder.jpg
P0034,2222 Elm Ave,N005,290000,2,1,1000,Single Family,1965,"Industrial Edge. Needs repairs, but great location for commuters.",placeholder.jpg
P0035,2323 Walnut Rd,N003,520000,3,2,1600,Townhouse,2010,"Maple Grove. Community gym, playground, and pet-friendly.",placeholder.jpg
P0036,2424 Chestnut Ln,N002,450000,2,2,1250,Condo,2018,"Downtown Metro Hub. Modern amenities, close to restaurants, and nightlife.",placeholder.jpg
P0037,2525 Willow Way,N004,350000,3,2,1800,Single Family,1979,"Riverside Meadows. Quiet street, large deck, and garden space.",placeholder.jpg
P0038,2626 Oakwood Dr,N005,305000,2,1,1100,Single Family,1957,"Industrial Edge. Investment property, needs updates, priced to sell.",placeholder.jpg
P0039,2727 Pineview St,N003,540000,3,2,1700,Townhouse,2012,"Maple Grove. Open floor plan, attached garage, and community events.",placeholder.jpg
P0040,2828 Riverbend Ave,N001,700000,4,2.5,2400,Single Family,2004,"Willow Creek Estates. Spacious, updated bathrooms, and family-friendly.",placeholder.jpg
P0041,2929 Factory Rd,N005,270000,1,1,800,Condo,2022,"Industrial Edge. New build, modern kitchen, and low HOA fees.",placeholder.jpg
P0042,3030 Maple Ct,N003,560000,3,2.5,1800,Townhouse,2014,"Maple Grove. End unit, extra windows, and near shopping center.",placeholder.jpg
P0043,3131 Birch Ln,N002,480000,2,2,1300,Condo,2016,"Downtown Metro Hub. Balcony with city views, secure entry, and fitness center.",placeholder.jpg
P0044,3232 Cedar Dr,N004,340000,3,1.5,1600,Single Family,1980,"Riverside Meadows. Needs some updates, but great location near parks.",placeholder.jpg
P0045,3333 Spruce Ave,N003,530000,3,2,1700,Townhouse,2011,"Maple Grove. Community pool, walking trails, and pet-friendly.",placeholder.jpg
P0046,3434 Elm St,N005,285000,2,1,1050,Single Family,1958,"Industrial Edge. Affordable, with potential for rental income. Needs TLC.",placeholder.jpg
P0047,3535 Walnut Blvd,N001,760000,4,3,2750,Single Family,2006,"Willow Creek Estates. Spacious layout, updated HVAC, and close to shopping.",placeholder.jpg
P0048,3636 Chestnut Dr,N002,460000,2,2,1200,Condo,2015,"Downtown Metro Hub. Modern appliances, rooftop terrace, and walkable to offices.",placeholder.jpg
P0049,3737 Willow Ln,N004,355000,3,2,1750,Single Family,1976,"Riverside Meadows. Large backyard, mature landscaping, and quiet neighbors.",placeholder.jpg
P0050,3838 Oakwood Ave,N005,300000,2,1,950,Single Family,1962,"Industrial Edge. Fixer-upper, close to factories, and priced below market.",placeholder.jpg
